Kabupaten/Kota,IKAN,Ekor kuning,"Tongkol, tuna, cakalang, dencis, ikan kayu",Tongkol,Tuna,"Cakalang,dencis",Tenggiri,Selar,"Kembung, lema/tatare, banyar/banyara",Teri,Bandeng,Gabus,Mujair,"Mas, nila",Mas,Nila,Lele,Kakap,Baronang,Patin,Bawal,Gurame,Ikan segar/basah lainnya,"Udang, lobster","Cumi-cumi, sotong, gurita","Ketam, kepiting, rajungan","Kerang, siput, bekicot, remis",Udang dan hewan air lainnya yang segar lainnya,Kembung diawetkan/peda,Tenggiri diawetkan,Tongkol/tuna/cakalang diawetkan,Teri diawetkan,Selar diawetkan,Sepat diawetkan,Bandeng diawetkan,Gabus diawetkan,"Ikan dalam kaleng (sardencis, tuna dalam kaleng, dsb)",Ikan diawetkan lainnya,"Udang diawetkan (ebi, rebon)","Cumi-cumi, sotong, gurita diawetkan",ang dan hewan air lainnya yang diawetkan
Kota Tebing Tinggi,17673,158,-,1730,466,1258,50,486,3554,122,4,226,68,-,261,1481,1099,273,-,22,199,33,883,1418,478,200,387,166,394,6,88,1721,49,16,5,-,140,71,157,-,6
Kota Medan,24687,252,-,2775,148,3425,77,428,2382,98,66,211,925,-,502,2366,1497,536,32,143,391,229,488,3187,1025,195,188,195,202,62,13,2099,12,19,-,7,197,164,123,14,13
Kota Binjai,18533,259,-,1787,66,3426,80,254,2272,51,15,151,27,-,318,1751,1335,215,-,40,44,70,402,1938,596,147,231,104,119,22,45,2405,15,31,-,-,64,114,47,89,1
Kota Padangsidimpuan,18067,27,-,1783,67,3114,6,98,334,26,9,152,983,-,2305,781,742,96,-,-,132,64,644,977,586,67,-,88,37,18,116,2134,12,-,3,19,474,1254,508,48,363
Kota Gunungsitoli,14537,87,-,4658,938,1357,132,364,751,346,-,58,-,-,187,105,434,1283,78,-,443,120,183,300,127,-,-,-,21,28,126,1161,774,46,133,106,43,137,9,-,-
Kepulauan Mentawai,17487,230,-,4581,506,17,542,1704,713,133,7,501,135,-,9,399,737,713,269,3,-,76,4286,447,478,252,177,68,4,97,89,211,-,2,-,-,49,45,-,-,9
Pesisir Selatan,15943,640,-,3554,483,203,297,1157,2326,484,58,192,134,-,112,1319,685,26,66,1,22,6,945,591,607,38,88,7,37,23,55,1247,144,69,9,30,29,252,7,1,1
Solok,12299,4,-,2389,491,154,23,235,100,57,-,8,278,-,490,2321,351,-,-,90,43,-,876,469,60,-,2,80,31,40,109,1772,222,939,61,21,160,320,90,4,12
Sijunjung,12956,49,-,2005,600,176,-,-,45,-,-,33,23,-,1096,2532,1032,-,-,783,1,51,260,571,260,-,-,12,27,43,127,2000,92,463,10,26,112,470,30,11,15
Tanah Datar,14535,5,-,2310,579,123,-,110,141,4,29,18,132,-,1045,3205,449,4,-,217,-,41,603,274,118,-,7,87,8,44,41,2148,61,1600,13,322,200,554,35,7,-
Padang Pariaman,14433,625,-,3537,758,62,135,1437,2449,101,23,56,73,-,125,1703,513,41,-,115,-,121,234,681,183,37,1,33,78,26,96,766,89,135,8,15,19,141,7,5,2
Agam,16193,118,-,2983,118,639,49,166,313,83,-,64,417,-,582,3137,764,10,-,220,42,67,910,964,359,79,4,505,120,78,120,1458,104,739,1,128,240,493,61,43,16
Lima Puluh Kota,15012,10,-,1527,67,114,12,9,220,104,38,19,169,-,1166,3993,755,4,36,566,44,123,285,215,14,-,41,25,128,277,301,2414,109,1132,15,110,411,408,100,45,5
Pasaman,13835,205,-,1869,23,1465,-,58,34,108,13,65,993,-,2060,1901,254,38,7,67,10,45,580,363,48,-,16,49,124,134,402,1588,96,147,52,57,272,474,197,9,10
Solok Selatan,13463,68,-,2433,1723,361,3,5,51,58,-,21,134,-,1890,1751,714,69,-,171,-,49,437,291,54,-,-,40,89,23,115,1953,175,281,52,144,169,131,4,-,2
Dharmasraya,13699,157,-,1752,422,106,19,221,138,49,12,260,97,-,535,2285,1041,13,9,1139,-,14,1042,1017,345,-,22,43,125,31,86,1639,73,319,19,88,347,222,7,-,4
Pasaman Barat,20493,506,-,3895,300,446,1145,152,1479,229,6,620,101,-,896,2514,852,31,1,66,58,-,1131,2282,353,110,95,48,188,72,106,1445,48,47,21,65,78,845,225,25,10
Kota Padang,18962,184,-,3361,1616,299,325,260,1626,525,47,139,307,-,83,1792,750,67,-,58,-,193,2339,1551,871,55,26,44,74,3,76,996,114,632,12,126,119,245,17,17,16
Kota Solok,18408,81,-,2205,1982,14,74,1122,310,16,-,-,87,-,284,3855,724,27,-,511,-,93,686,1258,377,-,-,164,33,23,49,1627,354,1557,19,178,303,376,16,-,1
Kota Sawah Lunto,14726,76,-,1752,1427,89,20,46,210,80,22,57,86,-,252,3497,1100,16,-,503,-,60,444,937,539,-,-,23,20,59,73,1616,122,976,28,113,363,57,38,24,-
Kota Padang Panjang,14650,220,-,2598,785,412,63,388,1209,75,-,-,325,-,251,1889,539,12,-,127,-,39,395,1767,468,-,-,29,9,13,84,1093,113,868,13,152,447,229,8,20,9
Kota Bukittinggi,16736,60,-,3065,677,1011,150,26,122,49,114,55,717,-,1059,2272,658,21,-,170,25,71,286,1507,676,54,-,119,14,51,83,1557,190,865,8,211,326,394,31,42,-
Kota Payakumbuh,13450,48,-,1755,291,243,43,438,311,60,-,52,89,-,448,3481,387,-,-,195,4,158,155,632,331,-,30,0,126,185,110,2032,90,826,24,89,453,250,49,66,-
Kota Pariaman,16071,108,-,3355,1229,297,190,1897,2049,64,-,108,-,-,-,1380,596,300,-,79,25,46,1361,1307,595,37,36,-,7,8,25,615,43,197,4,15,-,94,5,-,-
Kuantan Singingi,18141,26,-,1097,28,93,23,403,301,43,23,433,74,-,266,4558,964,-,47,2264,75,92,522,1744,175,3,135,40,201,124,137,2847,145,154,10,105,329,473,127,38,25
Indragiri Hulu,15628,-,-,771,69,127,-,299,367,35,18,668,13,-,333,3778,1312,14,-,2675,15,77,732,742,203,-,153,50,37,49,42,2306,45,15,-,34,317,237,40,19,36
Indragiri Hilir,18906,72,-,1421,9,516,235,551,1637,23,163,1222,35,-,90,1280,722,198,5,1073,311,110,2043,1918,195,138,981,653,120,34,59,1856,3,25,15,29,329,720,61,31,26
Pelalawan,21046,180,-,1417,346,1362,16,287,966,21,48,951,194,-,446,2684,1641,38,38,2571,91,242,1472,1173,455,-,197,188,169,172,138,2339,53,17,5,52,239,668,84,62,21
Siak,20360,100,-,1619,267,463,374,294,1244,193,47,814,6,-,682,2688,1893,127,22,2159,66,127,1001,1611,768,58,304,119,254,126,79,2045,102,108,23,23,251,162,113,24,4
Kampar,19056,30,-,1545,17,676,6,309,727,245,12,911,70,-,620,2603,1338,16,36,2730,61,69,1253,1133,636,7,143,30,282,42,62,2402,163,106,-,29,384,250,44,69,1
Rokan Hulu,18841,40,-,1490,-,793,3,80,563,18,52,600,66,-,1348,3148,1666,13,5,1580,50,101,1133,559,304,3,161,15,169,18,82,3291,107,175,-,28,430,474,140,70,66
